"Ano";"Mês";"Unidade";"cod Conta contábil";"desc Conta contábil";"Tipo Conta contábil";"cod Natureza da Receita";"desc Natureza da Receita";"Fonte";"Categ. Econ. Rec";"Origem";"Espécie";"Receita Local";"D1";"DD2";"D3";"Receita Arrecadada"
"2024";"1 - Janeiro";"140100 - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"17515001";"17515001 - TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB - PRINCIPAL";"540 - TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"7 - TRANSFERÊNCIAS CORRENTES";"5 - TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS";"6443 - TRANSFERÊNCIA DO FUNDEB - IPI EXPORTAÇÃO";"1751 - TRANSF. REC. FUNDO DE MANUT. E DES. DA EDUC. BÁSICA E VALORIZ. DOS PROFISSIONAIS DA EDUC. - FUNDEB";"175150 - TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB";"1751500 - TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB";0
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1111 - IPTU TERRITORIAL - EXERCÍCIO";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";568255,51
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1112 - IPTU TERRITORIAL - EXERCÍCIOS ANTERIORES";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";47133,81
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1115 - IPTU TERRITORIAL - PARCELAMENTO ADMINISTRATIVO";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";29019,32
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1121 - IPTU PREDIAL - EXERCÍCIO";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";51644962,8
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1122 - IPTU PREDIAL - EXERCÍCIOS ANTERIORES";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";2321114,67
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125001";"11125001 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1125 - IPTU PREDIAL - PARCELAMENTO ADMINISTRATIVO";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";1673953
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125002";"11125002 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"4112 - MULTA POR ATRASO IPTU - EXERCÍCIOS ANTERIORES";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";496608,43
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125002";"11125002 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - MULTAS E JUROS";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"5112 - JUROS S/IPTU - EXERCÍCIOS ANTERIORES";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";369156,59
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125003";"11125003 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DÍVIDA ATIVA";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1113 - IPTU TERRITORIAL - DÍVIDA ATIVA ADMINISTRATIVA";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";29668,22
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125003";"11125003 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DÍVIDA ATIVA";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1114 - IPTU TERRITORIAL - DÍVIDA ATIVA JUDICIAL";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";47397,8
"2024";"1 - Janeiro";"150100 - SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA";"621210101";"RECEITA REALIZADA";"C";"11125003";"11125003 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - DÍVIDA ATIVA";"500 - RECURSOS NÃO VINCULADOS DE IMPOSTOS";"1 - RECEITAS CORRENTES";"1 - IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA";"1 - IMPOSTOS";"1116 - IPTU TERRITORIAL - PARCELAMENTO DÍVIDA ATIVA ADMINISTRATIVA";"1112 - IMPOSTOS SOBRE O PATRIMÔNIO";"111250 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";"1112500 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA";32454,62
